id,FTID,belongtoDevice,Function,Location,Device,Type,description,voltage,current,resistance,isSocket,isSetPoint,isSensePoint
3459,=V01+K1.B1-K35:A2,V01+K1.B1-K35,V01,K1.B1,K35,Unknown,A2,0,0,0,0,0,0
3460,=V01+K1.B1-W5(-P2):X1:7,V01+K1.B1-W5(-P2),V01,K1.B1,W5(-P2),Unknown,X1:7,0,0,0,0,0,0
3461,=V01+K1.B1-A1:6,V01+K1.B1-A1,V01,K1.B1,A1,Unknown,6,0,0,0,0,0,0
3462,=V01+K1.B1-K35:A1,V01+K1.B1-K35,V01,K1.B1,K35,Unknown,A1,0,0,0,0,0,0
3463,=V01+K1.B1-K38:11,V01+K1.B1-K38,V01,K1.B1,K38,Unknown,11,0,0,0,0,0,0
3464,=V01+K1.B1-A3:15,V01+K1.B1-A3,V01,K1.B1,A3,Unknown,15,0,0,0,0,0,0
3465,=V01+K1.B1-W5(-P1):X1:3,V01+K1.B1-W5(-P1),V01,K1.B1,W5(-P1),Unknown,X1:3,0,0,0,0,0,0
3466,=V01+K1.B1-K38:14,V01+K1.B1-K38,V01,K1.B1,K38,Unknown,14,0,0,0,0,0,0
3467,=V01+K1.B1-K36:A2,V01+K1.B1-K36,V01,K1.B1,K36,Unknown,A2,0,0,0,0,0,0
3468,=V01+K1.B1-W5(-P2):X1:8,V01+K1.B1-W5(-P2),V01,K1.B1,W5(-P2),Unknown,X1:8,0,0,0,0,0,0
3469,=V01+K1.B1-A1:7,V01+K1.B1-A1,V01,K1.B1,A1,Unknown,7,0,0,0,0,0,0
3470,=V01+K1.B1-K36:A1,V01+K1.B1-K36,V01,K1.B1,K36,Unknown,A1,0,0,0,0,0,0
3471,=V01+K1.B1-K39:11,V01+K1.B1-K39,V01,K1.B1,K39,Unknown,11,0,0,0,0,0,0
3472,=V01+K1.B1-A3:16,V01+K1.B1-A3,V01,K1.B1,A3,Unknown,16,0,0,0,0,0,0
3473,=V01+K1.B1-W5(-P1):X1:4,V01+K1.B1-W5(-P1),V01,K1.B1,W5(-P1),Unknown,X1:4,0,0,0,0,0,0
3474,=V01+K1.B1-K39:14,V01+K1.B1-K39,V01,K1.B1,K39,Unknown,14,0,0,0,0,0,0
3475,=V01+K1.B1-K37:A2,V01+K1.B1-K37,V01,K1.B1,K37,Unknown,A2,0,0,0,0,0,0
3476,=V01+K1.B1-W5(-P2):X2:1,V01+K1.B1-W5(-P2),V01,K1.B1,W5(-P2),Unknown,X2:1,0,0,0,0,0,0
3477,=V01+K1.B1-A1:8,V01+K1.B1-A1,V01,K1.B1,A1,Unknown,8,0,0,0,0,0,0
3478,=V01+K1.B1-K37:A1,V01+K1.B1-K37,V01,K1.B1,K37,Unknown,A1,0,0,0,0,0,0
3479,=A02+K1.B1-X22-X22.6F:23,A02+K1.B1-X22-X22.6F,A02,K1.B1,X22-X22.6F,Terminal_Point,23,0,0,0,1,0,0
3481,=V01+S1-Y6.7:2,V01+S1-Y6.7,V01,S1,Y6.7,Unknown,2,0,0,0,0,0,0
3482,=A02+K1.B1-X22-X22.6M:23,A02+K1.B1-X22-X22.6M,A02,K1.B1,X22-X22.6M,Terminal_Point,23,0,0,0,1,0,0
3483,=A02+K1.B1-X22-X22.6M:22,A02+K1.B1-X22-X22.6M,A02,K1.B1,X22-X22.6M,Terminal_Point,22,0,0,0,1,0,0
3484,=V01+S1-Y6.7:1,V01+S1-Y6.7,V01,S1,Y6.7,Unknown,1,0,0,0,0,0,0
3485,=V01+K1.B1-A2:3,V01+K1.B1-A2,V01,K1.B1,A2,Unknown,3,0,0,0,0,0,0
3486,=A02+K1.B1-X22-X22.6F:22,A02+K1.B1-X22-X22.6F,A02,K1.B1,X22-X22.6F,Terminal_Point,22,0,0,0,1,0,0
3487,=A02+K1.B1-X22-X22.6M:24,A02+K1.B1-X22-X22.6M,A02,K1.B1,X22-X22.6M,Terminal_Point,24,0,0,0,1,0,0
3488,=V01+S1-Y6.7:PE,V01+S1-Y6.7,V01,S1,Y6.7,Unknown,PE,0,0,0,0,0,0
3489,=A02+K1.B1-X22-X22.4F:2,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,2,0,0,0,1,0,0
3491,=V01+S1-Y1.11:2,V01+S1-Y1.11,V01,S1,Y1.11,Unknown,2,0,0,0,0,0,0
3492,=A02+K1.B1-X22-X22.4M:2,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,2,0,0,0,1,0,0
3493,=A02+K1.B1-X22-X22.4M:1,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,1,0,0,0,1,0,0
3494,=V01+S1-Y1.11:1,V01+S1-Y1.11,V01,S1,Y1.11,Unknown,1,0,0,0,0,0,0
3495,=V01+K1.B1-A2:4,V01+K1.B1-A2,V01,K1.B1,A2,Unknown,4,0,0,0,0,0,0
3496,=A02+K1.B1-X22-X22.4F:1,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,1,0,0,0,1,0,0
3497,=A02+K1.B1-X22-X22.4M:3,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,3,0,0,0,1,0,0
3498,=V01+S1-Y1.11:PE,V01+S1-Y1.11,V01,S1,Y1.11,Unknown,PE,0,0,0,0,0,0
3499,=A02+K1.B1-X22-X22.4F:5,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,5,0,0,0,1,0,0
3500,=V01+K1.B1-A4:1,V01+K1.B1-A4,V01,K1.B1,A4,Unknown,1,0,0,0,0,0,0
3501,=V01+S1-S2.1:BU,V01+S1-S2.1,V01,S1,S2.1,Unknown,BU,0,0,0,0,0,0
3502,=A02+K1.B1-X22-X22.4M:5,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,5,0,0,0,1,0,0
3503,=A02+K1.B1-X22-X22.4M:4,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,4,0,0,0,1,0,0
3504,=V01+S1-S2.1:BN,V01+S1-S2.1,V01,S1,S2.1,Unknown,BN,0,0,0,0,0,0
3506,=A02+K1.B1-X22-X22.4F:4,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,4,0,0,0,1,0,0
3507,=A02+K1.B1-X22-X22.4F:7,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,7,0,0,0,1,0,0
3508,=V01+K1.B1-A4:2,V01+K1.B1-A4,V01,K1.B1,A4,Unknown,2,0,0,0,0,0,0
3509,=V01+S1-S3.1:BU,V01+S1-S3.1,V01,S1,S3.1,Unknown,BU,0,0,0,0,0,0
3510,=A02+K1.B1-X22-X22.4M:7,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,7,0,0,0,1,0,0
3511,=A02+K1.B1-X22-X22.4M:6,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,6,0,0,0,1,0,0
3512,=V01+S1-S3.1:BN,V01+S1-S3.1,V01,S1,S3.1,Unknown,BN,0,0,0,0,0,0
3514,=A02+K1.B1-X22-X22.4F:6,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,6,0,0,0,1,0,0
3515,=A02+K1.B1-X22-X22.4F:9,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,9,0,0,0,1,0,0
3517,=V01+S1-Y1.12:2,V01+S1-Y1.12,V01,S1,Y1.12,Unknown,2,0,0,0,0,0,0
3518,=A02+K1.B1-X22-X22.4M:9,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,9,0,0,0,1,0,0
3519,=A02+K1.B1-X22-X22.4M:8,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,8,0,0,0,1,0,0
3520,=V01+S1-Y1.12:1,V01+S1-Y1.12,V01,S1,Y1.12,Unknown,1,0,0,0,0,0,0
3521,=V01+K1.B1-A2:5,V01+K1.B1-A2,V01,K1.B1,A2,Unknown,5,0,0,0,0,0,0
3522,=A02+K1.B1-X22-X22.4F:8,A02+K1.B1-X22-X22.4F,A02,K1.B1,X22-X22.4F,Terminal_Point,8,0,0,0,1,0,0
3523,=A02+K1.B1-X22-X22.4M:10,A02+K1.B1-X22-X22.4M,A02,K1.B1,X22-X22.4M,Terminal_Point,10,0,0,0,1,0,0
