connection_number,source_name,source_location,source_type,target_name,target_location,target_type,wire_color
1119,=Q15+K1.B1-K3:11,,panel,=Q15+K1.B1-A23:X2:14,,PLC,BU
112,=A02+K1.H2-W3:3L2,,panel,=A01+K1.H2-W0:L2,,panel,BK
112,=A01+K1.H2-W0:L2,,panel,=A02+K1.H2-W3:3L2,,panel,BK
1120,=Q15+K1.B1-A23:X2:13,,PLC,=Q15+K1.B1-K3:14,,panel,BU
1120,=Q15+K1.B1-K3:14,,panel,=Q15+K1.B1-A23:X2:13,,PLC,BU
1121,=Q15+K1.B1-K3:A2,,panel,=V01+K1.B1-W5(-P2):P2:1,,panel,BU
1121,=V01+K1.B1-W5(-P2):P2:1,,panel,=Q15+K1.B1-K3:A2,,panel,BU
1122,=V01+K1.B1-A1:5,,PLC,=Q15+K1.B1-K3:A1,,panel,BU
1122,=Q15+K1.B1-K3:A1,,panel,=V01+K1.B1-A1:5,,PLC,BU
1123,=Q15+K1.G1-G3:13,,panel,=Q15+K1.B1-A23:X1:13,,PLC,GYPK
1123,=Q15+K1.B1-A23:X1:13,,PLC,=Q15+K1.G1-G3:13,,panel,GYPK
1125,=Q15+K1.G1-G3:6,,panel,=Q15+K1.B1-A23:X1:6,,PLC,WH
1125,=Q15+K1.B1-A23:X1:6,,PLC,=Q15+K1.G1-G3:6,,panel,WH
1126,=Q15+K1.G1-G3:7,,panel,=Q15+K1.B1-A23:X1:7,,PLC,BN
1126,=Q15+K1.B1-A23:X1:7,,PLC,=Q15+K1.G1-G3:7,,panel,BN
1127,=Q15+K1.G1-G3:18,,panel,=Q15+K1.B1-A23:X1:18,,PLC,GN
1127,=Q15+K1.B1-A23:X1:18,,PLC,=Q15+K1.G1-G3:18,,panel,GN
1128,=Q15+K1.G1-G3:19,,panel,=Q15+K1.B1-A23:X1:19,,PLC,YE
1128,=Q15+K1.B1-A23:X1:19,,PLC,=Q15+K1.G1-G3:19,,panel,YE
1129,=Q15+K1.G1-G3:5,,panel,=Q15+K1.B1-A23:X1:5,,PLC,GY
1129,=Q15+K1.B1-A23:X1:5,,PLC,=Q15+K1.G1-G3:5,,panel,GY
113,=A02+K1.H2-W3:3L3,,panel,=A01+K1.H2-W0:L3,,panel,BK
113,=A01+K1.H2-W0:L3,,panel,=A02+K1.H2-W3:3L3,,panel,BK
1130,=Q15+K1.G1-G3:4,,panel,=Q15+K1.B1-A23:X1:4,,PLC,PK
1130,=Q15+K1.B1-A23:X1:4,,PLC,=Q15+K1.G1-G3:4,,panel,PK
1131,=Q15+K1.G1-G3:17,,panel,=Q15+K1.B1-A23:X1:17,,PLC,BU
1131,=Q15+K1.B1-A23:X1:17,,PLC,=Q15+K1.G1-G3:17,,panel,BU
1132,=Q15+K1.G1-G3:16,,panel,=Q15+K1.B1-A23:X1:16,,PLC,RD
1132,=Q15+K1.B1-A23:X1:16,,PLC,=Q15+K1.G1-G3:16,,panel,RD
1133,=Q15+K1.G1-G3:11,,panel,=Q15+K1.B1-A23:X1:11,,PLC,RDBU
1133,=Q15+K1.B1-A23:X1:11,,PLC,=Q15+K1.G1-G3:11,,panel,RDBU
1137,=Q15+K1.B1-A23:X2:6,,PLC,=V01+K1.B1-A5:1,,PLC,WH
1137,=V01+K1.B1-A5:1,,PLC,=Q15+K1.B1-A23:X2:6,,PLC,WH
1138,=Q15+K1.B1-A23:X2:7,,PLC,=V01+K1.B1-A5:2,,PLC,BN
1138,=V01+K1.B1-A5:2,,PLC,=Q15+K1.B1-A23:X2:7,,PLC,BN
1139,=Q15+K1.B1-A23:X2:18,,PLC,=V01+K1.B1-A6:1,,PLC,GN
1139,=V01+K1.B1-A6:1,,PLC,=Q15+K1.B1-A23:X2:18,,PLC,GN
114,=A02+K1.H2-W4:1L1,,panel,=A01+K1.H2-K2:2,,panel,BU
114,=A01+K1.H2-K2:2,,panel,=A02+K1.H2-W4:1L1,,panel,BU
1140,=Q15+K1.B1-A23:X2:19,,PLC,=V01+K1.B1-A6:2,,PLC,YE
1140,=V01+K1.B1-A6:2,,PLC,=Q15+K1.B1-A23:X2:19,,PLC,YE
1141,=Q15+K1.B1-A23:X2:5,,PLC,=Q15+K1.B1-A5:5,,PLC,GY
1141,=Q15+K1.B1-A5:5,,PLC,=Q15+K1.B1-A23:X2:5,,PLC,GY
1142,=Q15+K1.B1-A23:X2:4,,PLC,=Q15+K1.B1-A5:6,,PLC,BU
1142,=Q15+K1.B1-A5:6,,PLC,=Q15+K1.B1-A23:X2:4,,PLC,BU
1143,=Q15+K1.B1-A23:X2:17,,PLC,=V01+K1.B1-A6:5,,PLC,RD
1143,=V01+K1.B1-A6:5,,PLC,=Q15+K1.B1-A23:X2:17,,PLC,RD
1144,=V01+K1.B1-A6:6,,PLC,=Q15+K1.B1-A23:X2:16,,PLC,BU
1144,=Q15+K1.B1-A23:X2:16,,PLC,=V01+K1.B1-A6:6,,PLC,BU
1145,=Q15+K1.G1-G4:X2.L,,panel,=Q15+K1.B1-X20:7:4,,panel,1
1145,=Q15+K1.B1-X20:7:4,,panel,=Q15+K1.G1-G4:X2.L,,panel,1
1146,=Q15+K1.B1-X20:7:3,,panel,=Q15+K1.H2-F14:2,,panel,BK
1146,=Q15+K1.H2-F14:2,,panel,=Q15+K1.B1-X20:7:3,,panel,BK
1147,=Q15+K1.H2-F14:1,,panel,=A02+K1.H2-W2.1:2L1,,panel,direkt verbunden
1147,=A02+K1.H2-W2.1:2L1,,panel,=Q15+K1.H2-F14:1,,panel,direkt verbunden
1148,=Q15+K1.G1-G4:X2.N,,panel,=Q15+K1.B1-X20:8:5,,panel,2
