id,connNo,source,target,color,isCable,isInPanel,connType,voltage,current,resistance
214,220,=A02+K1.B1-A1:9,=A02+K1.B1-X20-X20.1F:17,,0,1,外部连接,0.0,0.0,0.0
216,222,=A02+K1.B1-A1:10,=A02+K1.B1-X20-X20.1F:18,,0,1,外部连接,0.0,0.0,0.0
218,224,=A02+K1.B1-A1:11,=A02+K1.B1-X20-X20.1F:19,,0,1,外部连接,0.0,0.0,0.0
220,226,=A02+K1.B1-A1:12,=A02+K1.B1-X20-X20.1F:20,,0,1,外部连接,0.0,0.0,0.0
222,228,=A02+K1.B1-A1:13,=A02+K1.B1-X20-X20.1F:21,,0,1,外部连接,0.0,0.0,0.0
224,230,=A02+K1.B1-A1:14,=A02+K1.B1-X20-X20.1F:22,,0,1,外部连接,0.0,0.0,0.0
226,232,=A02+K1.B1-A1:15,=A02+K1.B1-X20-X20.1F:23,,0,1,外部连接,0.0,0.0,0.0
228,234,=A02+K1.B1-A1:16,=A02+K1.B1-X20-X20.1F:24,,0,1,外部连接,0.0,0.0,0.0
230,236,=A02+K1.B1-A2:1,=A02+K1.B1-X20-X20.2F:1,,0,1,外部连接,0.0,0.0,0.0
232,238,=A02+K1.B1-A2:2,=A02+K1.B1-X20-X20.2F:2,,0,1,外部连接,0.0,0.0,0.0
234,240,=A02+K1.B1-A2:3,=A02+K1.B1-X20-X20.2F:3,,0,1,外部连接,0.0,0.0,0.0
236,242,=A02+K1.B1-A2:4,=A02+K1.B1-X20-X20.2F:15,,0,1,外部连接,0.0,0.0,0.0
237,243,=A02+K1.B1-X20-X20.2F:16,=A02+K1.B1-A3:8,,0,1,外部连接,0.0,0.0,0.0
239,245,=A02+K1.B1-A4:1,=A02+K1.B1-X20-X20.3F:1,,0,1,外部连接,0.0,0.0,0.0
242,248,=A02+K1.B1-X20-X20.3F:2,=A02+K1.B1-A4:2,,0,1,外部连接,0.0,0.0,0.0
243,249,=A02+K1.B1-A4:5,=A02+K1.B1-X20-X20.3F:3,,0,1,外部连接,0.0,0.0,0.0
246,252,=A02+K1.B1-X20-X20.3F:4,=A02+K1.B1-A4:6,,0,1,外部连接,0.0,0.0,0.0
247,253,=A02+K1.B1-X21-X21.2M:11,=A02+K1.B1-X21-X21.2M:12,,0,1,外部连接,0.0,0.0,0.0
248,254,=A02+K1.B1-W5(-P1):P1,=A02+K1.B1-X21-X21.2M:12,,0,1,外部连接,0.0,0.0,0.0
253,259,=A02+K1.B1-X21-X21.2M:13,=A02+K1.B1-X21-X21.2M:16,,0,1,外部连接,0.0,0.0,0.0
256,262,=A02+K1.B1-X21-X21.2M:14,=A02+K1.B1-X21-X21.2M:15,,0,1,外部连接,0.0,0.0,0.0
257,263,=A02+K1.B1-X21-X21.2M:15,=A02+K1.B1-K21.1:72,,0,1,外部连接,0.0,0.0,0.0
265,271,=A02+K1.B1-X21-X21.2M:17,=A02+K1.B1-W5(-P2):P2,,0,1,外部连接,0.0,0.0,0.0
268,274,=A02+K1.B1-K21.1:71,=A02+K1.B1-X21-X21.2M:18,,0,1,外部连接,0.0,0.0,0.0
270,276,=A02+K1.B1-X21-X21.2M:19,=A02+K1.B1-W5(-P2):P2,,0,1,外部连接,0.0,0.0,0.0
272,278,=A02+K1.B1-W5(-P2):P2:2,=A02+K1.B1-K19:A2,,0,1,外部连接,0.0,0.0,0.0
273,279,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-K19:A1,,0,1,外部连接,0.0,0.0,0.0
274,280,=A02+K1.B1-X20-X20.2F:17,=A02+K1.B1-K19:S11,,0,1,外部连接,0.0,0.0,0.0
277,283,=A02+K1.B1-X20-X20.2F:18,=A02+K1.B1-K19:S21,,0,1,外部连接,0.0,0.0,0.0
280,286,=A02+K1.B1-X20-X20.2F:19,=A02+K1.B1-X20-X20.2F:22,,0,1,外部连接,0.0,0.0,0.0
281,287,=A02+K1.B1-X20-X20.2F:20,=A02+K1.B1-X20-X20.2F:21,,0,1,外部连接,0.0,0.0,0.0
282,288,=A02+K1.B1-K21.1:12,=A02+K1.B1-K22:43,,0,1,外部连接,0.0,0.0,0.0
283,289,=A02+K1.B1-K21:12,=A02+K1.B1-K21.1:11,,0,1,外部连接,0.0,0.0,0.0
284,290,=A02+K1.B1-K21:11,=A02+K1.B1-K20:12,,0,1,外部连接,0.0,0.0,0.0
285,291,=A02+K1.B1-K19:S34,=A02+K1.B1-K20:11,,0,1,外部连接,0.0,0.0,0.0
290,296,=A02+K1.B1-X20-X20.2F:23,=A02+K1.B1-K19:S22,,0,1,外部连接,0.0,0.0,0.0
291,297,=A02+K1.B1-X20-X20.2F:24,=A02+K1.B1-K19:S12,,0,1,外部连接,0.0,0.0,0.0
292,298,=F01+K1.B1-K1:12,=A02+K1.B1-X9:12:5,,0,1,外部连接,0.0,0.0,0.0
293,299,=F01+K1.B1-K1:11,=A02+K1.B1-K22:44,,0,1,外部连接,0.0,0.0,0.0
294,300,=A02+K1.G2-S2:.4,=A02+K1.B1-X9:12:2,,0,1,外部连接,0.0,0.0,0.0
295,301,=A02+K1.B1-X9:11:4,=A02+K1.G2-S2:.3,,0,1,外部连接,0.0,0.0,0.0
296,302,=A02+K1.B1-X9:10:5,=A02+K1.B1-X9:11:3,,0,1,外部连接,0.0,0.0,0.0
297,303,=A02+K1.G2-S3:12,=A02+K1.B1-X9:10:2,,0,1,外部连接,0.0,0.0,0.0
298,304,=A02+K1.B1-X9:9:4,=A02+K1.G2-S3:11,,0,1,外部连接,0.0,0.0,0.0
299,305,=A02+K1.B1-W5(-P1):P1:1,=A02+K1.B1-X9:9:3,,0,1,外部连接,0.0,0.0,0.0
300,306,=A02+K1.B1-X9:16:5,=A02+K1.B1-W5(-P2):P2:1,,0,1,外部连接,0.0,0.0,0.0
